Customer_ID,Region,Lifetime_Value,Churn_Probability,Retention_Strategy
CUST_18DBCQ,Europe,5860.99,0.9,Loyalty Program
CUST_I1XVIR,Asia,1826.93,0.78,Loyalty Program
CUST_FG9BML,Europe,5369.07,0.82,Discount
CUST_MMXPRX,Europe,7155.28,0.76,Discount
CUST_EO6B23,Asia,6471.72,0.77,Loyalty Program
CUST_JX0MC3,North America,4886.48,0.82,Loyalty Program
CUST_QPI9K8,South America,6778.49,0.88,Loyalty Program
CUST_GD1B6J,South America,5410.01,0.89,Email Campaign
CUST_F584U9,Europe,3231.5,0.72,Discount
CUST_JWLCA2,Europe,7894.98,0.93,Loyalty Program
CUST_4TF5P2,Europe,9281.62,0.82,Loyalty Program
CUST_YR2TNU,Asia,5895.28,0.83,Loyalty Program
CUST_LONT89,Asia,1612.89,0.91,Discount
CUST_1LLB8R,Europe,5933.12,0.89,Email Campaign
CUST_H4QSSS,Europe,1338.08,0.72,Loyalty Program
CUST_DUUUVJ,Asia,7521.31,0.86,Loyalty Program
CUST_4BCNBJ,Asia,3606.64,0.74,Email Campaign
CUST_JOOPXB,Asia,1726.87,0.83,Email Campaign
CUST_VX5PSF,Asia,5397.26,0.74,Email Campaign
CUST_V7YLQW,South America,2681.1,0.93,Email Campaign
CUST_4RZXHM,South America,2316.73,1,Discount
CUST_JXXP1J,North America,264,0.96,Loyalty Program
CUST_X1UHSV,North America,4421.33,0.71,Discount
CUST_8RPH58,Europe,6136.45,0.86,Email Campaign
CUST_6HRKXY,North America,3466.14,0.99,Discount
CUST_AYFCKE,North America,2972.25,0.98,Email Campaign
CUST_IZD8FP,Europe,1416.84,0.98,Loyalty Program
CUST_HLQ4E3,Asia,7854.03,0.89,Discount
CUST_BOA9MI,South America,4175.44,0.71,Discount
CUST_0R8BLV,South America,5232.99,1,Email Campaign
CUST_VZYV0F,Europe,6564.23,0.78,Discount
CUST_8D7JES,North America,6349.89,0.93,Email Campaign
CUST_8GTQI2,South America,3498.56,0.86,Loyalty Program
CUST_OC92Q1,Europe,2295.48,0.83,Loyalty Program
CUST_E86W98,Asia,6367.01,0.76,Email Campaign
CUST_2UVSWC,Europe,4739.18,0.96,Discount
CUST_PVCMFJ,North America,8171.8,0.78,Loyalty Program
CUST_AT0ZN8,Asia,9263.37,0.83,Loyalty Program
CUST_IJ8A5N,Asia,9773.32,0.79,Discount
CUST_3CMLGC,Asia,9028.77,0.95,Loyalty Program
CUST_7P8NSW,North America,8400.88,0.99,Email Campaign
CUST_L8QRCZ,South America,748.93,0.99,Discount
CUST_EG2IT4,Asia,3170.62,0.72,Loyalty Program
CUST_90KML1,Asia,7927.88,0.92,Discount
CUST_6QR9T2,South America,8697.9,0.78,Email Campaign
CUST_NVPSD8,North America,7115.31,0.84,Loyalty Program
CUST_Y553IG,Asia,5881.69,0.9,Email Campaign
CUST_D4KLQR,Asia,1464.05,0.85,Loyalty Program
CUST_ANNSPO,South America,6681.13,0.92,Discount
CUST_1AKRZX,South America,4040.6,0.89,Discount
CUST_I32RIN,Asia,2898.86,0.75,Loyalty Program
CUST_95L0ZS,Europe,2831.88,0.9,Loyalty Program
CUST_IGI8LL,South America,9979.49,0.78,Email Campaign
CUST_76D8FD,North America,1038.42,0.85,Loyalty Program
CUST_NWLU1A,North America,8524.08,0.86,Loyalty Program
CUST_RAC3EU,Asia,7678.35,0.81,Email Campaign
CUST_SNNBL2,North America,6939.62,0.82,Loyalty Program
CUST_TFD9O6,North America,6777.93,0.84,Loyalty Program
CUST_F05MOQ,South America,6488.14,0.72,Email Campaign
CUST_IEL7CY,South America,8153.36,0.78,Loyalty Program
CUST_IXNKYJ,Europe,9937.71,0.81,Email Campaign
CUST_SRXLC8,Asia,2366.42,0.73,Discount
CUST_O9BAYE,South America,3602.75,0.71,Discount
CUST_GX50T8,South America,7801.91,0.74,Loyalty Program
CUST_93IJ25,Asia,792.77,0.8,Email Campaign
CUST_77B8MG,South America,7866.47,0.8,Loyalty Program
CUST_RMYGXZ,Europe,7238.04,0.79,Discount
CUST_XGXAAS,Asia,8100.7,0.72,Email Campaign
CUST_89KT6H,North America,8706.32,0.82,Email Campaign
CUST_6EL2AI,North America,6425.91,0.76,Loyalty Program
CUST_FAOVIM,Europe,1387.56,0.71,Loyalty Program
CUST_W3E01D,South America,3746.98,0.98,Discount
CUST_HE8MSN,South America,1121.81,0.72,Loyalty Program
CUST_MRQH21,Europe,7455.66,0.9,Discount
CUST_NU99UL,South America,4457.6,0.8,Loyalty Program
CUST_FRPW0K,North America,149.09,0.97,Email Campaign
CUST_MYYAH6,South America,6727.73,0.84,Email Campaign
CUST_NFU5E0,South America,5229.97,0.97,Discount
CUST_LACE0F,Europe,8227.99,0.9,Discount
CUST_TCNFGE,Asia,4845.59,0.86,Discount
CUST_7SSMKY,South America,6140.66,0.88,Discount
CUST_V72GY0,Asia,8698.2,0.98,Discount
CUST_ZRS372,Asia,313.79,0.91,Discount
CUST_TQEI7K,South America,7618.49,0.78,Email Campaign
CUST_W2IRVI,Asia,5955.35,0.79,Loyalty Program
CUST_WW6MRZ,South America,1488.27,0.98,Email Campaign
CUST_IS4PIO,North America,7593.67,0.72,Email Campaign
CUST_FQU2PL,North America,2306.29,0.79,Loyalty Program
CUST_B2STDR,Europe,3143.02,0.96,Email Campaign
CUST_Y7OPL9,Asia,3988.07,0.81,Loyalty Program
CUST_962UEK,North America,9111.75,0.94,Loyalty Program
CUST_8VW0YA,Asia,9688.88,0.75,Discount
CUST_0Y18PJ,North America,619.76,0.84,Email Campaign
CUST_59IMNS,South America,2776.61,0.89,Discount
CUST_WMPI9O,North America,3450.47,0.89,Loyalty Program
CUST_K01YJH,Europe,2910.03,0.88,Loyalty Program
CUST_LKCP4Y,South America,9977.28,1,Loyalty Program
CUST_2EMLYK,North America,9362.03,0.75,Email Campaign
CUST_FVCBSR,Europe,4513.56,0.72,Email Campaign
CUST_XCW2Y4,Europe,5591.85,0.91,Discount
CUST_6LX1TQ,North America,2019.13,0.98,Email Campaign
CUST_TX4G92,Europe,340.79,0.78,Loyalty Program
CUST_F23KM3,North America,2645.02,0.91,Email Campaign
CUST_5QMZ9O,North America,7547.91,0.73,Email Campaign
CUST_CTEAZX,Asia,485.75,0.89,Discount
CUST_9ZQIBS,Asia,8766.1,0.83,Loyalty Program
CUST_J0UBDJ,South America,454.05,0.97,Email Campaign
CUST_GWSYW8,Asia,5666.55,0.97,Loyalty Program
CUST_G79FOY,Europe,4650.51,0.91,Discount
CUST_VZN6EN,North America,1484.88,0.88,Discount
CUST_SRWU9U,Europe,3774.47,0.75,Email Campaign
CUST_1CQ5YF,South America,1666.22,0.83,Discount
CUST_NJK9JV,South America,781.38,0.86,Email Campaign
CUST_TD7F8Y,Europe,8340.35,0.74,Email Campaign
CUST_VLL66V,Europe,5788.04,0.95,Discount
CUST_C2E0QU,Asia,1388.95,1,Email Campaign
CUST_MWTITD,South America,349.58,0.76,Email Campaign
CUST_I5AIJH,Asia,3806.99,0.84,Loyalty Program
CUST_5ES6RY,Europe,9246.67,0.82,Loyalty Program
CUST_D3AUD9,North America,4754.24,0.87,Loyalty Program
CUST_MMGBPQ,Europe,9357.44,0.74,Loyalty Program
CUST_MP34RG,Asia,2490.06,0.9,Loyalty Program
CUST_OLDCKU,North America,8509.76,0.81,Email Campaign
CUST_OSXE20,South America,7015.63,0.95,Discount
CUST_BIU2T7,North America,2030.36,0.82,Email Campaign
CUST_HUYOO5,South America,7853.08,0.77,Email Campaign
CUST_RAZ8JR,Asia,9810.11,0.72,Loyalty Program
CUST_9JAFKW,South America,228.37,0.82,Loyalty Program
CUST_FZ0KD7,Europe,7000.01,0.72,Email Campaign
CUST_LJ1IZH,South America,799.97,0.85,Discount
CUST_D8H5AS,Asia,204.88,0.74,Loyalty Program
CUST_88VYHP,South America,1781.91,0.99,Discount
CUST_C4E1JS,Asia,8920.6,0.97,Loyalty Program
CUST_H67HOK,Europe,4578,0.93,Email Campaign
CUST_JISDI8,Europe,7881.59,0.78,Loyalty Program
CUST_X0GMUX,South America,6787.41,0.83,Loyalty Program
CUST_RX98ZW,South America,1458.06,0.88,Discount
CUST_ZKFC89,North America,2676.88,0.84,Email Campaign
CUST_4Z7H55,South America,2752.74,0.85,Discount
CUST_7PX3BJ,North America,4099.22,0.79,Email Campaign
CUST_ILC8J9,Asia,7103.57,0.79,Loyalty Program
CUST_145ORS,Asia,8408.62,0.96,Discount
CUST_K57JH6,Asia,5635.79,0.81,Discount
CUST_CV93E1,Europe,3781.18,0.71,Discount
CUST_4PP3HJ,South America,3962.97,0.89,Loyalty Program
CUST_95DU2C,Asia,7991.59,0.8,Loyalty Program
CUST_9A0C0X,Europe,5537.92,0.88,Loyalty Program
CUST_31ZQSS,Asia,6545.11,0.95,Loyalty Program
CUST_L27JCO,Europe,3454.83,0.83,Discount
CUST_31DH8I,South America,8073.1,0.73,Loyalty Program
CUST_81SKOU,South America,8297.65,0.76,Loyalty Program
CUST_PB1OVW,Asia,5506.85,0.91,Loyalty Program
CUST_LN9YPE,South America,823.54,0.9,Discount
CUST_OSKTOO,Europe,6916.31,0.93,Email Campaign
CUST_45BF2K,Europe,7057.8,0.81,Email Campaign
CUST_44Y0N8,Asia,631.1,0.84,Loyalty Program
CUST_8XSTJQ,South America,1430.23,0.84,Discount
CUST_UMQ00W,Asia,4352.52,0.79,Discount
CUST_U089M1,South America,7665.24,0.76,Discount
CUST_JYME30,Europe,4791.55,0.75,Loyalty Program
CUST_D9OR2J,North America,8220.45,0.95,Email Campaign
CUST_9PD3C7,North America,3530.01,0.74,Email Campaign
CUST_EXY09B,South America,839.68,0.77,Discount
CUST_DW8B61,South America,6029.86,0.95,Loyalty Program
CUST_VG7616,South America,2884.47,0.99,Loyalty Program
CUST_2Q6XS2,South America,4829.85,0.78,Discount
CUST_LMIKED,Europe,994.86,0.72,Email Campaign
CUST_SD9WV5,South America,5928.81,0.99,Loyalty Program
CUST_G1MPFC,North America,6077.36,0.71,Email Campaign
CUST_ZEAN0I,Europe,5422.84,0.82,Email Campaign
CUST_UJJQMF,North America,498.13,0.76,Loyalty Program
CUST_UTAHJ0,Asia,2751.06,0.78,Email Campaign
CUST_JMLC09,Europe,788.86,0.84,Loyalty Program
CUST_XHYZ0T,South America,2591.74,0.78,Discount
CUST_806642,Europe,3815.27,0.71,Loyalty Program
CUST_HARC9S,Asia,8169.46,0.9,Discount
CUST_9PR1QH,South America,1212.62,0.94,Loyalty Program
CUST_OXWE5W,Europe,1269.7,0.9,Discount
CUST_56UU2N,Asia,6079.73,0.79,Email Campaign
CUST_Z99NNL,North America,859.83,0.97,Discount
CUST_9GZ4SC,South America,338.85,0.87,Loyalty Program
CUST_HCRD9G,South America,2302.36,0.99,Loyalty Program
CUST_NOF90Q,South America,9685.04,0.72,Discount
CUST_X28O3U,Europe,9242.33,0.76,Discount
CUST_CAD4BU,Asia,4734.47,1,Loyalty Program
CUST_IKI1Z8,Europe,9798.34,0.97,Discount
CUST_SWT9D4,South America,9370.33,0.88,Email Campaign
CUST_MLV0XJ,South America,3716.03,0.81,Email Campaign
CUST_R3K54N,Europe,9300.81,0.72,Email Campaign
CUST_7DC6ZV,North America,652.52,0.8,Discount
CUST_M4SFTI,Europe,5460.29,0.94,Loyalty Program
CUST_BD5K0T,Europe,9866.25,0.84,Discount
CUST_75W7KS,North America,5890.75,0.73,Email Campaign
CUST_S665HP,Asia,8942.35,0.83,Discount
CUST_GTD6Q9,Asia,4872.8,0.77,Loyalty Program
CUST_BEUC7A,South America,4440.15,0.92,Email Campaign
CUST_BG3R2B,South America,1031.61,0.81,Email Campaign
CUST_KJ9A5O,South America,9560.36,0.73,Discount
CUST_FJBSP6,South America,6253.68,0.94,Email Campaign
CUST_70GE6M,Europe,5879.83,0.98,Email Campaign
CUST_LXHC9X,North America,2374.81,0.98,Email Campaign
CUST_IZHXJ2,Europe,3257.02,0.84,Loyalty Program
CUST_Y5AU7X,South America,8585.53,0.87,Loyalty Program
CUST_M5SSL8,Europe,9612.49,0.9,Discount
CUST_WSUKIZ,South America,5171.69,0.71,Loyalty Program
CUST_DX8IY3,Asia,8099,0.71,Discount
CUST_ZQXUUS,South America,484.12,0.82,Email Campaign
CUST_99UW6R,South America,1811.37,0.83,Discount
CUST_H1MU7Q,South America,9876.27,0.98,Discount
CUST_CW9FYL,North America,2977.42,0.86,Email Campaign
CUST_V71ZT8,Europe,9147.92,0.82,Loyalty Program
CUST_4H4E1N,Asia,5757.5,0.91,Loyalty Program
CUST_1BVE8A,Europe,3799.27,0.93,Email Campaign
CUST_NC9Q10,Europe,181.62,0.98,Email Campaign
CUST_7DODMI,South America,4890.24,0.92,Discount
CUST_PZ3DGY,Europe,5866.16,0.77,Email Campaign
CUST_WV2MUE,Europe,9306.81,0.95,Loyalty Program
CUST_AWZ9LL,Asia,2379.88,0.82,Email Campaign
CUST_C1G5AI,Asia,700.77,0.82,Discount
CUST_95ADK0,North America,7071.86,0.79,Discount
CUST_0AQMEI,Europe,2206.13,0.73,Loyalty Program
CUST_LNGOW1,North America,3814.79,0.95,Email Campaign
CUST_PMJEOH,Asia,1214.71,0.73,Email Campaign
CUST_VO5I8S,Asia,4034.9,0.99,Email Campaign
CUST_KPC55X,Europe,6980.14,1,Email Campaign
CUST_E8PFZQ,Asia,9633.01,0.93,Loyalty Program
CUST_WX0NM8,Asia,5859.54,0.73,Discount
CUST_I0MT85,Europe,569.47,0.78,Discount
CUST_OTPCJO,Asia,4093.22,0.75,Discount
CUST_HLY86M,North America,1677.26,0.97,Email Campaign
CUST_EFYNBN,North America,9319.84,0.78,Discount
CUST_535IX2,South America,501.67,0.73,Email Campaign
CUST_P1MTCL,Asia,9315.14,0.74,Loyalty Program
CUST_Q4EYYA,North America,7964.76,0.74,Loyalty Program
CUST_89HAOC,Asia,9816.19,0.92,Discount
CUST_S1POUI,South America,5779.19,0.94,Email Campaign
CUST_LMB24Z,North America,2750.06,0.81,Discount
CUST_9SFED9,Asia,6041.18,0.85,Email Campaign
CUST_4TR9DG,Europe,8699.38,0.76,Email Campaign
CUST_HVZNU4,North America,6977.41,0.83,Discount
CUST_OLXH7F,Asia,4940.41,0.87,Email Campaign
CUST_TSH8EW,Europe,7586.89,0.86,Discount
CUST_LSV4K6,Europe,7457.82,0.78,Discount
CUST_ZQXWS2,North America,6539.78,0.72,Email Campaign
CUST_5TPOKU,South America,2981.12,0.81,Email Campaign
CUST_QTNWP8,Asia,1990.13,0.9,Email Campaign
CUST_LHXB6G,South America,951,0.87,Loyalty Program
CUST_ABFZB3,Asia,6258.61,0.8,Discount
CUST_U1KPQO,South America,9378.38,0.96,Email Campaign
CUST_1P68K5,South America,4287.6,0.74,Loyalty Program
CUST_EGRRL0,Asia,7815.46,0.97,Discount
CUST_QRSAFP,North America,8125.33,0.74,Loyalty Program
CUST_OXT2ES,South America,2668.14,0.95,Email Campaign
CUST_0MWK3C,Asia,6633.08,0.8,Discount
CUST_JFP8IC,Asia,137.2,0.75,Email Campaign
CUST_WFK637,Asia,2857.19,0.9,Email Campaign
CUST_92VOAD,North America,1267.79,0.86,Email Campaign
CUST_47JK4F,Asia,571.94,0.96,Loyalty Program
CUST_K4ZSM7,South America,7511.68,0.8,Loyalty Program
CUST_HX1O1E,Europe,9043.13,0.77,Discount
CUST_451N6C,Europe,4499.73,0.83,Loyalty Program
CUST_UB9JXV,North America,5364.43,0.74,Loyalty Program
CUST_3Y5XC1,North America,4107.26,0.76,Email Campaign
CUST_1ZX8I0,South America,6698.74,0.93,Discount
CUST_E0CBNZ,North America,3691.41,0.89,Loyalty Program
CUST_2FC486,South America,8922.5,1,Discount
CUST_4NIP2X,Europe,5072.85,0.97,Email Campaign
CUST_JJ4CZQ,Asia,9014.6,0.91,Discount
CUST_OIGYN3,Asia,9168.34,0.79,Loyalty Program
CUST_9MUWXV,North America,9658.28,0.77,Email Campaign
CUST_8555XB,Asia,3939.79,0.95,Discount
CUST_AWZ946,Europe,8785.4,0.95,Email Campaign
CUST_2W1IL4,Europe,1822.79,0.97,Discount
CUST_YS2TD3,Europe,5938.68,0.81,Discount
CUST_UETP2T,North America,6248.39,0.77,Discount
CUST_KF77R5,Europe,4132.34,0.92,Loyalty Program
CUST_4BLONF,North America,4375.07,0.72,Loyalty Program
CUST_0LPFWE,Asia,7927.83,0.91,Discount
CUST_XS6EO1,South America,2820.63,0.81,Discount
CUST_TCLHUG,North America,2542.07,0.76,Discount
CUST_F5GLF7,Asia,2995.48,0.91,Discount
CUST_62KICU,South America,4236.92,0.98,Loyalty Program
CUST_EQ2WZE,Europe,3987.13,0.96,Email Campaign
CUST_UB5B7G,North America,9385.64,0.88,Discount
CUST_I6HPE9,Asia,3894.97,0.97,Discount
CUST_70D10Q,North America,7920.87,0.72,Discount
CUST_SYUHSU,North America,5985.85,0.92,Loyalty Program
CUST_VXKXVB,Asia,9516.82,0.74,Loyalty Program
CUST_O6ADHV,Europe,1420.53,0.96,Discount
CUST_2YKE1R,Europe,4176.46,0.71,Email Campaign
CUST_UZK6S8,South America,1148.27,0.84,Email Campaign
CUST_7SYF97,Asia,7083.69,0.89,Loyalty Program
CUST_S7GSF5,Europe,5812.79,0.75,Loyalty Program
CUST_2U58HO,South America,3243.6,0.93,Loyalty Program
CUST_H6J159,Asia,2451.06,0.89,Loyalty Program
CUST_PFBRN1,Europe,707.79,0.89,Discount
CUST_94PJDG,Asia,368.8,0.97,Discount
CUST_XNDMXR,North America,9912.8,0.83,Loyalty Program
CUST_DO57WT,Asia,4017.04,0.97,Loyalty Program
CUST_FHTQRM,South America,660.36,0.99,Discount
CUST_WUCVYA,South America,561.81,0.85,Loyalty Program
CUST_TEJFCH,Asia,6927.86,0.99,Loyalty Program
CUST_S27ZDH,South America,2195.74,0.82,Loyalty Program
CUST_G2NX0E,North America,7721.86,0.93,Discount
CUST_EZJ1HI,Europe,1472.52,0.78,Discount
CUST_VMQNS4,North America,1470.06,0.73,Email Campaign
CUST_ELGRE6,Asia,8384.05,0.81,Loyalty Program
CUST_2ADZ2Z,North America,8651.86,0.93,Email Campaign
CUST_N4VTQ0,South America,3452.27,0.78,Email Campaign
CUST_6FAFWC,Europe,4226.73,0.79,Discount
CUST_N5QW9W,North America,5662.56,0.73,Email Campaign
CUST_S85RH6,South America,4853.34,0.9,Loyalty Program
CUST_6L3HPO,Asia,2469.19,0.99,Discount
CUST_1WEMTE,North America,1043.22,0.86,Discount
CUST_MY6GWU,South America,379.59,0.92,Email Campaign
CUST_NVG4J2,Europe,4020.38,0.91,Email Campaign
CUST_JPK3AL,Europe,1389.15,0.97,Discount
CUST_8EIX0D,North America,5125.49,0.75,Loyalty Program
CUST_FD0BVN,North America,416.65,0.85,Discount
CUST_M50UP6,North America,173.26,0.92,Email Campaign
CUST_W92W2I,South America,3166.74,0.95,Email Campaign
CUST_EU6MAY,South America,1080.78,0.77,Discount
CUST_D8OFIC,Europe,9624.87,0.74,Email Campaign
CUST_6CYBKL,Europe,4011.73,0.77,Discount
CUST_87NXUI,Asia,268.27,0.9,Discount
CUST_NE2GOV,North America,2525.24,0.88,Loyalty Program
CUST_0VXCAC,North America,3930.46,1,Discount
CUST_GCF3EX,Europe,4855.08,0.81,Loyalty Program
CUST_SXPFGD,Europe,7436.84,0.93,Discount
CUST_WGMVGW,Asia,9174.43,0.79,Loyalty Program
CUST_FWCPTF,North America,6097.26,0.8,Email Campaign
CUST_683JS7,Europe,2818.06,0.8,Loyalty Program
CUST_J50HG1,Asia,1751.08,0.71,Email Campaign
CUST_T4RGMR,Europe,5947.09,0.76,Email Campaign
CUST_XEXNX2,North America,7604.02,0.85,Discount
CUST_0FDTYG,North America,6898.37,0.83,Email Campaign
CUST_W11HDZ,Europe,1448.37,0.75,Email Campaign
CUST_NRJ3XG,Europe,8095.88,0.73,Email Campaign
CUST_Z1G0ZO,North America,6599.97,0.93,Loyalty Program
CUST_2IHVC3,South America,4032.06,0.79,Loyalty Program
CUST_FO8TCM,North America,3303.85,0.71,Email Campaign
CUST_21CJFO,South America,4785.7,0.99,Discount
CUST_VB1HL4,Asia,1175.65,0.76,Discount
CUST_PNOJDB,South America,941.46,0.9,Discount
CUST_TNH0GI,Europe,6031.65,0.99,Discount
CUST_1EOUE4,South America,473.84,0.99,Email Campaign
CUST_4XDTV4,Europe,9652.1,0.99,Loyalty Program
CUST_URPGCG,South America,6525.09,0.72,Loyalty Program
CUST_FBWQ7E,South America,5599.88,0.91,Discount
CUST_SA0AGV,North America,1059.13,1,Loyalty Program
CUST_KMZ7E2,Asia,2974.14,0.81,Email Campaign
CUST_MO2O8P,Europe,4519.17,0.94,Discount
CUST_FM78P5,South America,1809.21,0.95,Loyalty Program
CUST_MHYFO8,Asia,4376.26,0.94,Discount
CUST_WLQVJC,South America,7236.25,0.96,Email Campaign
CUST_OYYHX0,Asia,4520.4,0.85,Email Campaign
CUST_R5KBEA,Europe,6495.99,0.88,Discount
CUST_RCGKLI,Asia,8476.4,0.77,Discount
CUST_4SBR1A,North America,6657.57,0.89,Email Campaign
CUST_TZKLWO,North America,7509.25,0.98,Email Campaign
CUST_K0XXAO,North America,492.81,0.8,Loyalty Program
CUST_4TE1XJ,Europe,9525.26,0.71,Discount
CUST_F2A0W4,South America,7523.15,0.75,Email Campaign
CUST_DQZR4X,Europe,7916.51,0.87,Email Campaign
CUST_BH0RD1,Europe,4969.24,0.86,Discount
CUST_YMCKVV,Asia,373.62,0.82,Loyalty Program
CUST_JJKCGX,South America,3157.87,1,Loyalty Program
CUST_R04XJB,Europe,1324.34,0.92,Loyalty Program
CUST_VPDKB7,North America,3738.22,0.9,Email Campaign
CUST_42BJGZ,Asia,7527.99,0.97,Email Campaign
CUST_WJYE15,North America,3095.45,0.78,Discount
CUST_3TJH5T,South America,7586.21,0.79,Loyalty Program
CUST_SLDL9L,Europe,6905.15,0.82,Email Campaign
CUST_KQB48J,Asia,5307.26,0.96,Loyalty Program
CUST_J3DVCN,South America,3847.05,0.76,Discount
CUST_VXQCLY,Europe,1726.07,0.9,Email Campaign
CUST_PP8I7P,Europe,3069,0.72,Email Campaign
CUST_BLWG8H,South America,8265.62,0.74,Email Campaign
CUST_8E0ID5,South America,2213.15,0.88,Loyalty Program
CUST_MXAI99,Europe,1304.92,0.96,Email Campaign
CUST_2HMW7T,Europe,9442.07,0.84,Email Campaign
CUST_EECVI5,Asia,5795.63,0.86,Discount
CUST_VAPXSV,Europe,4928.19,0.98,Discount
CUST_NOJKJH,North America,6962.69,0.97,Loyalty Program
CUST_F8X69V,North America,4473.67,0.73,Loyalty Program
CUST_UPK5MP,South America,2510.64,0.99,Loyalty Program
CUST_WX4W26,Europe,2536.13,0.99,Discount
CUST_YRJUIP,Europe,481.92,0.94,Discount
CUST_0O529J,South America,7812.41,0.99,Loyalty Program
CUST_P4WEHB,North America,1668.53,0.92,Loyalty Program
CUST_DHAIXA,Asia,4813.09,0.87,Loyalty Program
CUST_LT4YRI,Europe,3849.8,0.91,Loyalty Program
CUST_M79HBQ,North America,8485.26,0.76,Discount
CUST_QF61IM,South America,3701.85,0.94,Discount
CUST_KCUAFW,Asia,8979.13,0.73,Email Campaign
CUST_O3JAZA,Europe,8055.29,0.72,Loyalty Program
CUST_QCQ37B,North America,6364.97,0.81,Loyalty Program
CUST_TP1TJR,North America,9662.29,0.89,Email Campaign
CUST_SILGIJ,Asia,3641.14,0.94,Loyalty Program
CUST_LHKZF7,North America,2095.52,0.84,Email Campaign
CUST_LPH8MI,Europe,1924.39,0.86,Email Campaign
CUST_X9SN67,South America,6216,0.92,Email Campaign
CUST_BP19O0,Asia,7677.44,0.98,Email Campaign
CUST_WMKMF8,Europe,2731.63,0.72,Loyalty Program
CUST_TGFWQL,South America,7444.62,0.91,Loyalty Program
CUST_BSFCZS,Asia,5481.28,0.84,Email Campaign
CUST_8EUVZP,North America,2173.39,0.83,Discount
CUST_EZESVA,North America,8123.21,0.99,Email Campaign
CUST_R473OA,South America,3902.24,0.96,Discount
CUST_YZ6QIT,South America,8539.67,0.87,Email Campaign
CUST_7GGVHE,Europe,4011.24,0.78,Email Campaign
CUST_ITCKUQ,Asia,5436.12,0.79,Loyalty Program
CUST_2B0930,South America,844.03,0.76,Loyalty Program
CUST_WIL687,Asia,2589.51,0.95,Email Campaign
CUST_CY85F8,Asia,1909.18,0.99,Discount
CUST_E38EBH,South America,4407.07,0.8,Email Campaign
CUST_7NKKVD,North America,893.69,0.81,Email Campaign
CUST_4Z9N0V,North America,4821.2,0.81,Email Campaign
CUST_AFT7GW,Asia,2661.67,0.97,Email Campaign
CUST_EDLYA5,Europe,5143.44,0.82,Loyalty Program
CUST_SK229L,Asia,5750.19,0.89,Email Campaign
CUST_2AU87H,South America,3093.91,0.85,Loyalty Program
CUST_SA2OII,Europe,9052.57,0.82,Loyalty Program
CUST_BTEWXV,Europe,652.57,0.83,Loyalty Program
CUST_PMXNMF,Europe,8708.41,0.89,Loyalty Program
CUST_O3NH7E,Asia,2610.51,0.95,Email Campaign
CUST_2WK6SK,Asia,1156.73,0.75,Loyalty Program
CUST_GELGQV,North America,6289.82,0.97,Discount
CUST_F0IF6S,Asia,6656.34,0.82,Loyalty Program
CUST_BRBSIV,Asia,3157.64,0.89,Email Campaign
CUST_S9WYHE,North America,3426.96,0.74,Discount
CUST_UALY6F,North America,8768.36,0.86,Loyalty Program
CUST_HJH3ZB,North America,159,0.97,Email Campaign
CUST_L8558B,Europe,6412.15,0.75,Loyalty Program
CUST_8YGPRV,North America,3216.57,0.72,Email Campaign
CUST_AGFEL9,South America,8076.53,0.81,Loyalty Program
CUST_FV2SDO,Europe,6753,0.78,Loyalty Program
CUST_FJZCIF,Asia,4354.15,0.79,Discount
CUST_9I1X23,South America,9909.21,0.75,Loyalty Program
CUST_Q8ZHXT,Europe,345.16,0.91,Email Campaign
CUST_THS3X9,Asia,9390.68,0.87,Email Campaign
CUST_ATLS7W,Europe,8633.36,0.83,Loyalty Program
CUST_IZCE8I,Asia,2440.28,0.98,Loyalty Program
CUST_P7R6IV,Europe,5263.95,0.9,Email Campaign
CUST_9SZOBS,Europe,5529.36,0.83,Discount
CUST_67S266,South America,9350.38,0.88,Email Campaign
CUST_2TXWWP,Europe,1830.32,0.84,Discount
CUST_DUCQOA,Europe,8131.35,0.79,Discount
CUST_T8DXUM,South America,6267.79,0.8,Discount
CUST_4PV9DP,Europe,7050.89,0.72,Discount
CUST_WGPDV3,Europe,7843.82,0.95,Loyalty Program
CUST_N4I1EK,South America,970.04,1,Loyalty Program
CUST_EKOJCW,Europe,8770.83,0.9,Discount
CUST_R8M0HW,North America,1834.63,0.95,Email Campaign
CUST_9F7RLO,North America,1142.56,0.77,Email Campaign
CUST_J2SNY7,Asia,1484.84,0.93,Discount
CUST_NQV69I,Europe,7433.67,0.75,Discount
CUST_CLIW48,Europe,7467.5,0.73,Discount
CUST_Y4CG8N,Asia,8419.1,0.94,Discount
CUST_7X95SQ,South America,9431.55,0.78,Email Campaign
CUST_F2279T,Europe,8796.99,0.9,Discount
CUST_1O20Z8,Europe,120.13,0.89,Discount
CUST_27MYS3,Europe,776.75,0.84,Loyalty Program
CUST_45BG5Y,Asia,3556.32,0.79,Loyalty Program
CUST_512IID,South America,6348.28,0.96,Email Campaign
CUST_8E6QAD,Europe,3608.1,0.82,Discount
CUST_5T7GPF,South America,298.54,0.73,Discount
CUST_NAS593,North America,1096.93,0.85,Loyalty Program
CUST_9H77E9,South America,6993.91,0.8,Email Campaign
CUST_E6FIZD,South America,9630.67,0.79,Loyalty Program
CUST_XL1V78,Asia,8702.23,0.81,Email Campaign
CUST_Q0BQU4,North America,201.74,0.88,Email Campaign
CUST_PRYX1O,Europe,165.5,0.88,Discount
